category_code,views,conversion_rate_pct,quadrant
computers.peripherals.mouse,932,2.36,"Niche — low traffic, high CVR"
computers.components.hdd,928,1.94,"Niche — low traffic, high CVR"
appliances.kitchen.grill,904,0.66,"Underdog — low traffic, low CVR"
furniture.living_room.chair,802,0.50,"Underdog — low traffic, low CVR"
computers.peripherals.keyboard,772,0.78,"Underdog — low traffic, low CVR"
computers.components.motherboard,752,0.53,"Underdog — low traffic, low CVR"
appliances.environment.air_conditioner,716,1.12,"Underdog — low traffic, low CVR"
computers.components.cpu,716,0.28,"Underdog — low traffic, low CVR"
kids.dolls,680,1.18,"Underdog — low traffic, low CVR"
computers.components.memory,612,2.29,"Niche — low traffic, high CVR"
appliances.personal.hair_cutter,596,2.68,"Niche — low traffic, high CVR"
accessories.wallet,568,1.06,"Underdog — low traffic, low CVR"
construction.tools.pump,564,0.00,"Underdog — low traffic, low CVR"
electronics.audio.music_tools.piano,530,0.38,"Underdog — low traffic, low CVR"
sport.trainer,530,0.75,"Underdog — low traffic, low CVR"
apparel.dress,528,0.38,"Underdog — low traffic, low CVR"
computers.components.cooler,526,1.14,"Underdog — low traffic, low CVR"
electronics.camera.video,512,1.17,"Underdog — low traffic, low CVR"
kids.fmcg.diapers,492,2.85,"Niche — low traffic, high CVR"
kids.swing,484,0.83,"Underdog — low traffic, low CVR"
appliances.kitchen.juicer,478,0.00,"Underdog — low traffic, low CVR"
construction.components.faucet,444,1.80,"Niche — low traffic, high CVR"
appliances.kitchen.toster,414,2.42,"Niche — low traffic, high CVR"
auto.accessories.radar,394,2.03,"Niche — low traffic, high CVR"
furniture.bedroom.pillow,386,0.52,"Underdog — low traffic, low CVR"
electronics.audio.microphone,350,2.29,"Niche — low traffic, high CVR"
computers.ebooks,346,1.16,"Underdog — low traffic, low CVR"
furniture.bathroom.toilet,338,0.59,"Underdog — low traffic, low CVR"
apparel.jeans,334,0.00,"Underdog — low traffic, low CVR"
apparel.underwear,328,0.61,"Underdog — low traffic, low CVR"
appliances.ironing_board,328,2.44,"Niche — low traffic, high CVR"
furniture.bedroom.blanket,304,0.66,"Underdog — low traffic, low CVR"
construction.tools.painting,260,2.31,"Niche — low traffic, high CVR"
construction.tools.light,248,0.81,"Underdog — low traffic, low CVR"
computers.components.power_supply,236,1.69,"Niche — low traffic, high CVR"
appliances.personal.massager,234,0.85,"Underdog — low traffic, low CVR"
apparel.tshirt,226,0.00,"Underdog — low traffic, low CVR"
furniture.bathroom.bath,212,0.94,"Underdog — low traffic, low CVR"
apparel.shirt,196,0.00,"Underdog — low traffic, low CVR"
electronics.video.projector,176,1.14,"Underdog — low traffic, low CVR"
appliances.kitchen.steam_cooker,174,1.15,"Underdog — low traffic, low CVR"
apparel.shoes.sandals,172,1.16,"Underdog — low traffic, low CVR"
apparel.shoes.moccasins,162,0.00,"Underdog — low traffic, low CVR"
apparel.trousers,160,1.25,"Niche — low traffic, high CVR"
appliances.kitchen.coffee_grinder,160,1.25,"Niche — low traffic, high CVR"
medicine.tools.tonometer,160,2.50,"Niche — low traffic, high CVR"
auto.accessories.parktronic,138,0.00,"Underdog — low traffic, low CVR"
auto.accessories.winch,132,0.00,"Underdog — low traffic, low CVR"
apparel.jumper,130,1.54,"Niche — low traffic, high CVR"
electronics.camera.photo,124,0.00,"Underdog — low traffic, low CVR"
furniture.universal.light,108,0.00,"Underdog — low traffic, low CVR"
